longitude,latitude,loc_time,coord_type
120.775731182,31.593418232,1458815195,1
120.775771822,31.593431382,1458815225,1
120.775812672,31.593442487,1458815255,1
120.775889908,31.593462405,1458815285,1
120.775927624,31.593473901,1458815315,1
120.775966652,31.593488601,1458815345,1
120.776184934,31.593586237,1458815375,1
120.776344946,31.593655074,1458815405,1
120.776379823,31.593671134,1458815435,1
120.776414712,31.593686516,1458815465,1
120.776449884,31.593699120,1458815495,1
120.776484426,31.593707155,1458815525,1
120.776516675,31.593709343,1458815555,1
120.776557767,31.593703537,1458815585,1
120.776587484,31.593692279,1458815615,1
120.776615806,31.593675789,1458815645,1
120.776641103,31.593655177,1458815675,1
120.776664506,31.593630859,1458815705,1
120.776714871,31.593572501,1458815735,1
120.776825647,31.593448632,1458815765,1
120.776923427,31.593340992,1458815795,1
120.777018545,31.593236939,1458815825,1
120.777039293,31.593214078,1458815855,1
120.777063783,31.593185267,1458815885,1
120.777167802,31.593054383,1458815915,1
120.777237097,31.592967740,1458815945,1
120.777368084,31.592820109,1458815975,1
120.777488566,31.592688448,1458816005,1
120.777512582,31.592660051,1458816035,1
120.777529583,31.592636956,1458816065,1
120.777542651,31.592611945,1458816095,1
120.777550580,31.592577403,1458816125,1
120.777548473,31.592544590,1458816155,1
120.777538793,31.592513743,1458816185,1
120.777521609,31.592487195,1458816215,1
120.777497133,31.592465933,1458816245,1
120.777466665,31.592447687,1458816275,1
120.777295422,31.592361781,1458816305,1
120.777174322,31.592299474,1458816335,1
120.777147489,31.592284089,1458816365,1
120.777008974,31.592195671,1458816395,1
120.776981689,31.592178405,1458816425,1
120.776953211,31.592161642,1458816455,1
120.776923830,31.592145816,1458816485,1
120.776759592,31.592063234,1458816515,1
120.776582466,31.591975156,1458816545,1
120.776417359,31.591892224,1458816575,1
120.776355362,31.591859998,1458816605,1
120.776201169,31.591771812,1458816635,1
120.776169312,31.591754423,1458816665,1
120.776137492,31.591737988,1458816695,1
120.775989726,31.591665367,1458816725,1
120.775968243,31.591654902,1458816755,1
120.775860771,31.591600236,1458816785,1
120.775831949,31.591583776,1458816815,1
120.775809659,31.591565352,1458816845,1
120.775792034,31.591540696,1458816875,1
120.775783231,31.591513788,1458816905,1
120.775783239,31.591485929,1458816935,1
120.775791081,31.591457548,1458816965,1
120.775805662,31.591429278,1458816995,1
120.775825344,31.591400342,1458817025,1
120.775941802,31.591252498,1458817055,1
120.776045778,31.591123152,1458817085,1
120.776173828,31.590977362,1458817115,1
120.776294795,31.590831610,1458817145,1
120.776425892,31.590664469,1458817175,1
120.776552788,31.590493924,1458817205,1
120.776676914,31.590329643,1458817235,1
120.776784520,31.590197299,1458817265,1
120.776876089,31.590085698,1458817295,1
120.776976062,31.589960367,1458817325,1
120.777089281,31.589819571,1458817355,1
120.777235823,31.589635208,1458817385,1
120.777380482,31.589458679,1458817415,1
120.777518944,31.589294962,1458817445,1
120.777649992,31.589133001,1458817475,1
120.777790257,31.588958369,1458817505,1
120.777921553,31.588796309,1458817535,1
120.777977955,31.588727095,1458817565,1
120.778007784,31.588692701,1458817595,1
120.778115996,31.588575759,1458817625,1
120.778142502,31.588545218,1458817655,1
120.778252017,31.588409688,1458817685,1
120.778349311,31.588287444,1458817715,1
120.778367901,31.588264407,1458817745,1
120.778388148,31.588241899,1458817775,1
120.778410639,31.588220544,1458817805,1
120.778434933,31.588201712,1458817835,1
120.778461329,31.588185139,1458817865,1
120.778489849,31.588170790,1458817895,1
120.778519229,31.588159111,1458817925,1
120.778550440,31.588149545,1458817955,1
120.778584718,31.588142027,1458817985,1
120.778620301,31.588138223,1458818015,1
120.778656450,31.588140212,1458818045,1
120.778693630,31.588149926,1458818075,1
120.778733264,31.588167465,1458818105,1
120.778939413,31.588280036,1458818135,1
120.779171961,31.588401975,1458818165,1
120.779457189,31.588548450,1458818195,1
120.779739082,31.588688905,1458818225,1
120.779973853,31.588811581,1458818255,1
120.780188369,31.588925491,1458818285,1
120.780346981,31.589010435,1458818315,1
