longitude,latitude,loc_time,coord_type
120.779954051,31.593608658,1458821165,1
120.779913064,31.593608731,1458821195,1
120.779871892,31.593604225,1458821225,1
120.779832428,31.593596022,1458821255,1
120.779793863,31.593584674,1458821285,1
120.779753898,31.593569571,1458821315,1
120.779710417,31.593549614,1458821345,1
120.779496286,31.593443117,1458821375,1
120.779453099,31.593420837,1458821405,1
120.779237309,31.593304636,1458821435,1
120.778977947,31.593173152,1458821465,1
120.778711682,31.593038268,1458821495,1
120.778520986,31.592941559,1458821525,1
120.778479231,31.592918538,1458821555,1
120.778440397,31.592895569,1458821585,1
120.778334157,31.592826531,1458821615,1
120.778299298,31.592804704,1458821645,1
120.778263008,31.592783830,1458821675,1
120.778225673,31.592764337,1458821705,1
120.778034860,31.592670387,1458821735,1
120.778007531,31.592656791,1458821765,1
120.777971101,31.592637504,1458821795,1
120.777941264,31.592617572,1458821825,1
120.777909526,31.592591128,1458821855,1
120.777879500,31.592559520,1458821885,1
120.777854263,31.592525661,1458821915,1
120.777832789,31.592489530,1458821945,1
120.777816496,31.592454502,1458821975,1
120.777806408,31.592422077,1458822005,1
120.777802707,31.592391630,1458822035,1
120.777805645,31.592360728,1458822065,1
120.777816312,31.592329390,1458822095,1
120.777835376,31.592297069,1458822125,1
120.777918497,31.592189895,1458822155,1
120.778076735,31.592003408,1458822185,1
120.778194537,31.591863334,1458822215,1
120.778218853,31.591835834,1458822245,1
120.778244312,31.591808548,1458822275,1
120.778353501,31.591697072,1458822305,1
120.778380912,31.591667055,1458822335,1
120.778524924,31.591497395,1458822365,1
120.778668047,31.591323511,1458822395,1
120.778767044,31.591201671,1458822425,1
120.778898967,31.591033334,1458822455,1
120.779047782,31.590836193,1458822485,1
120.779199547,31.590645332,1458822515,1
120.779378518,31.590424776,1458822545,1
120.779553144,31.590203274,1458822575,1
120.779681829,31.590039951,1458822605,1
120.779810447,31.589858953,1458822635,1
120.779946617,31.589666214,1458822665,1
120.780083361,31.589493279,1458822695,1
120.780189378,31.589361373,1458822725,1
120.780209435,31.589335725,1458822755,1
120.780226772,31.589311453,1458822785,1
120.780240643,31.589286762,1458822815,1
120.780250199,31.589257902,1458822845,1
120.780254233,31.589228648,1458822875,1
120.780251984,31.589200103,1458822905,1
120.780242340,31.589172806,1458822935,1
120.780224627,31.589147142,1458822965,1
120.780196232,31.589121729,1458822995,1
120.780164164,31.589102065,1458823025,1
120.779953483,31.588989925,1458823055,1
120.779694358,31.588850901,1458823085,1
120.779399082,31.588695029,1458823115,1
120.779112751,31.588544444,1458823145,1
120.778856516,31.588408638,1458823175,1
120.778651388,31.588297681,1458823205,1
120.778471255,31.588202167,1458823235,1
120.778263510,31.588092245,1458823265,1
120.777994501,31.587948173,1458823295,1
120.777685802,31.587785972,1458823325,1
120.777394056,31.587635456,1458823355,1
120.777169875,31.587521287,1458823385,1
120.776994907,31.587431199,1458823415,1
120.776806854,31.587334324,1458823445,1
120.776576332,31.587217761,1458823475,1
120.776283135,31.587076208,1458823505,1
120.775960250,31.586923782,1458823535,1
120.775617221,31.586770963,1458823565,1
120.775258918,31.586613155,1458823595,1
120.774910692,31.586469801,1458823625,1
120.774632156,31.586355812,1458823655,1
120.774420079,31.586267716,1458823685,1
120.774149009,31.586151493,1458823715,1
120.773800660,31.586009189,1458823745,1
120.773426517,31.585859925,1458823775,1
120.773084458,31.585719130,1458823805,1
120.772840729,31.585619671,1458823835,1
120.772555049,31.585504165,1458823865,1
120.772250979,31.585384107,1458823895,1
120.771951536,31.585268450,1458823925,1
120.771673447,31.585155947,1458823955,1
120.771430504,31.585053871,1458823985,1
120.771165371,31.584944440,1458824015,1
120.770878107,31.584828936,1458824045,1
120.770599806,31.584718719,1458824075,1
