longitude,latitude,loc_time,coord_type
120.769429294,31.584049796,1458835865,1
120.769455075,31.584071352,1458835895,1
120.769480887,31.584089936,1458835925,1
120.769513777,31.584109179,1458835955,1
120.769542178,31.584122456,1458835985,1
120.769565592,31.584131022,1458836015,1
120.769767838,31.584212140,1458836045,1
120.770000248,31.584305318,1458836075,1
120.770298828,31.584427985,1458836105,1
120.770629625,31.584562684,1458836135,1
120.770930877,31.584685331,1458836165,1
120.771167486,31.584781273,1458836195,1
120.771406999,31.584878961,1458836225,1
120.771719738,31.585006139,1458836255,1
120.772050213,31.585135196,1458836285,1
120.772365842,31.585260066,1458836315,1
120.772653407,31.585376205,1458836345,1
120.772878924,31.585471213,1458836375,1
120.773130151,31.585577456,1458836405,1
120.773423695,31.585697941,1458836435,1
120.773761679,31.585834940,1458836465,1
120.774061931,31.585958459,1458836495,1
120.774276311,31.586049500,1458836525,1
120.774520655,31.586149246,1458836555,1
120.774746097,31.586243501,1458836585,1
120.775041795,31.586381078,1458836615,1
120.775341573,31.586514821,1458836645,1
120.775631970,31.586644171,1458836675,1
120.775900235,31.586763824,1458836705,1
120.775949312,31.586788357,1458836735,1
120.775995707,31.586813582,1458836765,1
120.776120790,31.586885525,1458836795,1
120.776159203,31.586906665,1458836825,1
120.776196226,31.586925780,1458836855,1
120.776232582,31.586943502,1458836885,1
120.776468134,31.587056218,1458836915,1
120.776499319,31.587072023,1458836945,1
120.776519613,31.587081813,1458836975,1
120.776549037,31.587097594,1458837005,1
120.776579967,31.587119831,1458837035,1
120.776612026,31.587151991,1458837065,1
120.776639752,31.587192854,1458837095,1
120.776660468,31.587237688,1458837125,1
120.776673517,31.587285173,1458837155,1
120.776678274,31.587334259,1458837185,1
120.776672709,31.587383863,1458837215,1
120.776655717,31.587434495,1458837245,1
120.776636199,31.587467779,1458837275,1
120.776609362,31.587500971,1458837305,1
120.776576740,31.587534936,1458837335,1
120.776368881,31.587738701,1458837365,1
120.776128387,31.587975713,1458837395,1
120.775855494,31.588246359,1458837425,1
120.775563519,31.588532058,1458837455,1
120.775269384,31.588823944,1458837485,1
120.774976760,31.589114644,1458837515,1
120.774683870,31.589403409,1458837545,1
120.774414942,31.589671817,1458837575,1
120.774169680,31.589917242,1458837605,1
120.773988190,31.590094083,1458837635,1
120.773809342,31.590271165,1458837665,1
120.773632401,31.590446020,1458837695,1
120.773503989,31.590574342,1458837725,1
120.773477085,31.590603168,1458837755,1
120.773453059,31.590631578,1458837785,1
120.773431882,31.590659688,1458837815,1
120.773381433,31.590731947,1458837845,1
120.773360388,31.590761019,1458837875,1
120.773339450,31.590786930,1458837905,1
120.773319421,31.590809269,1458837935,1
120.773264757,31.590866291,1458837965,1
120.773234105,31.590897108,1458837995,1
120.773213803,31.590916100,1458838025,1
