longitude,latitude,loc_time,coord_type
120.773493051,31.592567626,1458809255,1
120.773387291,31.592520589,1458809285,1
120.773276620,31.592472713,1458809315,1
120.773190448,31.592436952,1458809345,1
120.773168312,31.592428560,1458809375,1
120.773145583,31.592421424,1458809405,1
120.773123506,31.592416881,1458809435,1
120.773100024,31.592415844,1458809465,1
120.773078236,31.592420576,1458809495,1
120.773059851,31.592432700,1458809525,1
120.773048263,31.592449129,1458809555,1
120.773040417,31.592466996,1458809585,1
120.773033141,31.592484892,1458809615,1
120.773025416,31.592502245,1458809645,1
120.773016493,31.592519435,1458809675,1
120.773006463,31.592536290,1458809705,1
120.772994865,31.592552378,1458809735,1
120.772984142,31.592568721,1458809765,1
120.772977248,31.592586634,1458809795,1
120.772976776,31.592605539,1458809825,1
120.772987465,31.592622281,1458809855,1
120.773005951,31.592634740,1458809885,1
120.773026999,31.592645128,1458809915,1
120.773048632,31.592655231,1458809945,1
120.773159372,31.592703431,1458809975,1
120.773183144,31.592712727,1458810005,1
120.773275217,31.592748349,1458810035,1
120.773296565,31.592757638,1458810065,1
120.773318243,31.592767924,1458810095,1
120.773339127,31.592779690,1458810125,1
120.773357350,31.592792006,1458810155,1
120.773373311,31.592808152,1458810185,1
120.773383415,31.592826071,1458810215,1
120.773387581,31.592847019,1458810245,1
120.773384507,31.592867915,1458810275,1
120.773377138,31.592888784,1458810305,1
120.773367925,31.592908243,1458810335,1
120.773357737,31.592927008,1458810365,1
120.773298166,31.593027279,1458810395,1
120.773235315,31.593129677,1458810425,1
120.773177542,31.593225449,1458810455,1
120.773140473,31.593284151,1458810485,1
120.773128741,31.593304068,1458810515,1
120.773118144,31.593323408,1458810545,1
120.773107911,31.593343913,1458810575,1
120.773099794,31.593363656,1458810605,1
120.773094635,31.593384122,1458810635,1
120.773092234,31.593406173,1458810665,1
120.773091707,31.593427636,1458810695,1
120.773092666,31.593470845,1458810725,1
120.773092508,31.593492793,1458810755,1
120.773091350,31.593514163,1458810785,1
120.773088512,31.593536098,1458810815,1
120.773083313,31.593558202,1458810845,1
120.773075536,31.593580380,1458810875,1
120.773066332,31.593599469,1458810905,1
120.773053952,31.593619990,1458810935,1
120.773039218,31.593639169,1458810965,1
120.773021867,31.593656623,1458810995,1
120.773003003,31.593671020,1458811025,1
120.772982416,31.593682584,1458811055,1
120.772959792,31.593691149,1458811085,1
120.772935660,31.593696219,1458811115,1
120.772910677,31.593698464,1458811145,1
120.772884765,31.593697991,1458811175,1
120.772858062,31.593696105,1458811205,1
120.772833874,31.593693525,1458811235,1
120.772730094,31.593679029,1458811265,1
120.772594629,31.593653958,1458811295,1
120.772458680,31.593621340,1458811325,1
120.772329544,31.593588913,1458811355,1
120.772199944,31.593557435,1458811385,1
120.772146060,31.593543905,1458811415,1
120.772119653,31.593536636,1458811445,1
120.772093434,31.593528772,1458811475,1
120.772067040,31.593520006,1458811505,1
120.772040897,31.593510204,1458811535,1
120.771946513,31.593471387,1458811565,1
120.771925322,31.593461654,1458811595,1
120.771903725,31.593450613,1458811625,1
120.771883382,31.593437991,1458811655,1
120.771865567,31.593423788,1458811685,1
120.771852285,31.593407050,1458811715,1
120.771844580,31.593386050,1458811745,1
120.771845281,31.593364092,1458811775,1
120.771851100,31.593343463,1458811805,1
120.771859543,31.593324415,1458811835,1
120.771869835,31.593304940,1458811865,1
120.771881686,31.593284901,1458811895,1
120.771940671,31.593188136,1458811925,1
120.772002108,31.593087041,1458811955,1
120.772063360,31.592984918,1458811985,1
120.772075542,31.592965844,1458812015,1
120.772088022,31.592947264,1458812045,1
120.772102167,31.592927667,1458812075,1
120.772117121,31.592908514,1458812105,1
120.772132581,31.592891048,1458812135,1
120.772149560,31.592873632,1458812165,1
120.772167634,31.592857283,1458812195,1
120.772186120,31.592842197,1458812225,1
120.772224653,31.592811924,1458812255,1
120.772242928,31.592795713,1458812285,1
120.772259877,31.592778262,1458812315,1
120.772274231,31.592761367,1458812345,1
120.772287798,31.592743062,1458812375,1
120.772300385,31.592723464,1458812405,1
120.772311924,31.592702714,1458812435,1
120.772324256,31.592682563,1458812465,1
120.772379901,31.592584901,1458812495,1
120.772392835,31.592563834,1458812525,1
120.772405907,31.592544406,1458812555,1
120.772418740,31.592526695,1458812585,1
120.772433944,31.592508496,1458812615,1
120.772450877,31.592491779,1458812645,1
120.772468930,31.592477609,1458812675,1
120.772490587,31.592465303,1458812705,1
120.772514792,31.592457126,1458812735,1
120.772538258,31.592453989,1458812765,1
120.772563839,31.592455403,1458812795,1
