longitude,latitude,loc_time,coord_type
120.782379392,31.564784718,1458827135,1
120.782564433,31.564785530,1458827165,1
120.782735090,31.564784831,1458827195,1
120.782916906,31.564786173,1458827225,1
120.783099766,31.564790167,1458827255,1
120.783282082,31.564791176,1458827285,1
120.783464372,31.564792683,1458827315,1
120.783638152,31.564793550,1458827345,1
120.783811656,31.564793760,1458827375,1
120.783980905,31.564795047,1458827405,1
120.784168207,31.564797399,1458827435,1
120.784339174,31.564797615,1458827465,1
120.784533999,31.564797555,1458827495,1
120.784712104,31.564799028,1458827525,1
120.784833233,31.564798103,1458827555,1
120.784973605,31.564799821,1458827585,1
120.785100667,31.564800864,1458827615,1
120.785226771,31.564801551,1458827645,1
120.785363995,31.564802864,1458827675,1
120.785527779,31.564803008,1458827705,1
120.785706680,31.564803995,1458827735,1
120.785891233,31.564804910,1458827765,1
120.786066937,31.564806472,1458827795,1
120.786232149,31.564806264,1458827825,1
120.786284288,31.564806546,1458827855,1
120.786309046,31.564807669,1458827885,1
120.786440742,31.564809409,1458827915,1
120.786513840,31.564809447,1458827945,1
120.786539912,31.564810125,1458827975,1
120.786693437,31.564810550,1458828005,1
120.786826039,31.564811775,1458828035,1
120.786897530,31.564811812,1458828065,1
120.787022971,31.564812642,1458828095,1
120.787147725,31.564813289,1458828125,1
120.787279322,31.564814674,1458828155,1
120.787407503,31.564816189,1458828185,1
120.787550318,31.564816085,1458828215,1
120.787700422,31.564816583,1458828245,1
120.787849943,31.564818596,1458828275,1
120.788004928,31.564822090,1458828305,1
120.788176448,31.564827505,1458828335,1
120.788325756,31.564836805,1458828365,1
120.788399962,31.564844621,1458828395,1
120.788423489,31.564847538,1458828425,1
120.788446757,31.564850055,1458828455,1
120.788560355,31.564866688,1458828485,1
120.788677106,31.564885317,1458828515,1
120.788721916,31.564893797,1458828545,1
120.788790660,31.564908040,1458828575,1
120.788837262,31.564918345,1458828605,1
120.788940618,31.564944060,1458828635,1
120.789070645,31.564982388,1458828665,1
120.789170642,31.565013719,1458828695,1
120.789240970,31.565037729,1458828725,1
120.789261640,31.565045692,1458828755,1
120.789286226,31.565054489,1458828785,1
120.789398646,31.565097499,1458828815,1
120.789514048,31.565141934,1458828845,1
120.789605524,31.565178734,1458828875,1
